city,date,year,month,urban_temp_c,uhi_index
Pune,2004-04-30,2004,4,46.39,-0.1804
Pune,2009-05-01,2009,5,46.39,-0.2105
Ahmedabad,2013-05-01,2013,5,46.37,-0.0556
Jaipur,2014-06-02,2014,6,46.36,0.0424
Pune,2001-05-09,2001,5,46.31,-0.2813
Jaipur,2005-05-25,2005,5,46.29,-1.0258
Pune,2018-04-15,2018,4,46.28,0.3303
Pune,2003-03-22,2003,3,46.27,-0.0825
Pune,2013-03-30,2013,3,46.27,-0.6806
Jaipur,2001-04-23,2001,4,46.26,-0.7829
Pune,2017-04-23,2017,4,46.26,-0.9272
Jaipur,2021-04-23,2021,4,46.25,-1.8993
Pune,2014-05-01,2014,5,46.21,-0.1501
Hyderabad,2016-04-06,2016,4,46.18,-2.3681
Hyderabad,2000-04-22,2000,4,46.18,-1.3713
Pune,2018-04-23,2018,4,46.17,-0.6855
Pune,2017-04-07,2017,4,46.14,-0.6118
Delhi,2010-06-18,2010,6,46.13,0.3265
Hyderabad,2000-04-30,2000,4,46.13,-1.0055
Pune,2016-04-22,2016,4,46.12,-0.5431
Ahmedabad,2002-03-22,2002,3,46.09,-0.3905
Pune,2002-04-15,2002,4,46.07,-0.8526
Ahmedabad,2006-05-01,2006,5,46.04,-0.3226
Pune,2020-04-22,2020,4,46.04,-0.1403
Jaipur,2011-04-23,2011,4,46.03,-1.5129
Pune,2016-04-14,2016,4,46.01,-0.7074
Ahmedabad,2020-05-16,2020,5,46.01,0.1328
Jaipur,2010-04-15,2010,4,46.0,-0.7907
Pune,2001-03-30,2001,3,45.99,0.209
Pune,2013-04-07,2013,4,45.97,-0.6354
Jaipur,2020-05-16,2020,5,45.93,-0.4371
Pune,2005-05-01,2005,5,45.93,0.7724
Ahmedabad,2009-05-01,2009,5,45.91,-0.2713
Ahmedabad,2013-05-17,2013,5,45.91,0.0661
Hyderabad,2016-04-22,2016,4,45.9,-2.2647
Delhi,2005-05-25,2005,5,45.83,0.1749
Pune,2015-04-23,2015,4,45.82,0.0107
Ahmedabad,2009-03-30,2009,3,45.76,0.4917
Jaipur,2011-05-09,2011,5,45.75,-0.8901
Jaipur,2016-06-01,2016,6,45.75,-1.1782
Ahmedabad,2001-05-09,2001,5,45.75,-0.3153
Delhi,2010-05-17,2010,5,45.74,-0.0434
Ahmedabad,2009-04-15,2009,4,45.73,0.051
Ahmedabad,2006-05-09,2006,5,45.73,-0.2353
Pune,2018-05-01,2018,5,45.73,-0.4962
Ahmedabad,2005-05-17,2005,5,45.73,-0.4838
Jaipur,2022-05-09,2022,5,45.72,-1.7407
Ahmedabad,2000-04-30,2000,4,45.71,-0.3195
Ahmedabad,2006-04-23,2006,4,45.7,-0.177
Pune,2003-03-14,2003,3,45.69,-0.2288
Pune,2001-03-14,2001,3,45.69,-0.0219
Ahmedabad,2018-05-09,2018,5,45.69,-0.3152
Jaipur,2009-04-15,2009,4,45.67,-0.5673
Pune,2019-05-09,2019,5,45.67,-1.1281
Pune,2009-04-07,2009,4,45.66,-0.3949
Pune,2019-04-07,2019,4,45.66,-0.9331
Pune,2005-04-07,2005,4,45.64,-0.0165
Pune,2009-04-23,2009,4,45.62,-0.1116
Pune,2000-03-13,2000,3,45.62,-0.1516
Pune,2020-05-08,2020,5,45.6,-0.6912
Ahmedabad,2020-05-24,2020,5,45.6,-0.5097
Ahmedabad,2023-05-09,2023,5,45.6,0.0105
Jaipur,2018-05-25,2018,5,45.59,-1.3591
Delhi,2016-05-16,2016,5,45.58,0.2143
Delhi,2013-05-17,2013,5,45.57,0.2928
Ahmedabad,2014-05-17,2014,5,45.57,-0.2959
Pune,2006-03-30,2006,3,45.56,-0.1335
Pune,2009-04-15,2009,4,45.55,-0.2948
Pune,2009-05-09,2009,5,45.53,-0.6088
Ahmedabad,2008-04-22,2008,4,45.52,-0.0112
Jaipur,2013-05-25,2013,5,45.51,-0.9727
Ahmedabad,2019-05-25,2019,5,45.51,-0.311
Ahmedabad,2019-04-07,2019,4,45.5,0.5036
Ahmedabad,2005-05-25,2005,5,45.5,-0.3815
Pune,2008-04-30,2008,4,45.5,-0.2924
Ahmedabad,2004-04-22,2004,4,45.46,-0.1232
Ahmedabad,2022-04-23,2022,4,45.46,-0.1035
Jaipur,2022-04-23,2022,4,45.43,-1.8241
Pune,2005-03-30,2005,3,45.42,-0.0461
Jaipur,2002-05-09,2002,5,45.41,-0.4074
Pune,2017-05-09,2017,5,45.41,-0.6232
Ahmedabad,2001-04-07,2001,4,45.39,-0.643
Jaipur,2015-05-25,2015,5,45.36,-0.5995
Ahmedabad,2016-06-01,2016,6,45.35,-0.596
Jaipur,2017-05-09,2017,5,45.34,-0.3827
Jaipur,2016-04-22,2016,4,45.34,-1.1207
Hyderabad,2003-05-25,2003,5,45.33,-0.8683
Jaipur,2005-04-15,2005,4,45.32,-0.9915
Jaipur,2015-05-09,2015,5,45.32,-0.6281
Jaipur,2009-05-01,2009,5,45.31,-0.2883
Jaipur,2015-06-02,2015,6,45.31,-0.2081
Jaipur,2014-05-17,2014,5,45.31,-0.8742
Jaipur,2001-05-01,2001,5,45.3,-0.8434
Delhi,2019-06-10,2019,6,45.3,-0.1442
Jaipur,2019-04-23,2019,4,45.28,-1.4068
Jaipur,2012-05-24,2012,5,45.28,-0.258
Pune,2012-04-30,2012,4,45.26,-0.29
Pune,2007-03-30,2007,3,45.26,-0.1006
Ahmedabad,2020-05-08,2020,5,45.26,-0.3286
Jaipur,2014-05-01,2014,5,45.25,-1.1188
Delhi,2019-05-25,2019,5,45.25,-0.4706
Jaipur,2012-05-16,2012,5,45.24,-0.1149
Ahmedabad,2017-05-09,2017,5,45.24,-0.287
Pune,2007-04-15,2007,4,45.22,1.2166
Ahmedabad,2003-04-23,2003,4,45.22,-0.4468
Pune,2013-04-15,2013,4,45.2,-0.5773
Pune,2014-04-15,2014,4,45.19,-0.5023
Jaipur,2021-05-01,2021,5,45.19,-1.3989
Ahmedabad,2007-05-01,2007,5,45.18,-0.2607
Jaipur,2010-04-23,2010,4,45.16,-0.9719
Ahmedabad,2015-05-17,2015,5,45.15,-0.6098
Jaipur,2016-04-14,2016,4,45.14,-1.1058
Pune,2009-05-17,2009,5,45.12,-0.7155
Pune,2019-03-30,2019,3,45.12,-0.9997
Delhi,2009-06-26,2009,6,45.11,2.0444
Ahmedabad,2009-06-02,2009,6,45.11,-0.1548
Pune,2007-04-07,2007,4,45.1,-0.1752
Pune,2008-05-16,2008,5,45.08,0.5198
Jaipur,2001-05-09,2001,5,45.07,-0.5535
Jaipur,2009-05-09,2009,5,45.05,-0.7222
Delhi,2009-06-18,2009,6,45.02,0.6796
Ahmedabad,2020-04-30,2020,4,45.02,0.2387
