city,season,decade,avg_uhi,avg_urban_lst,obs
Hyderabad,Monsoon,2020-2024,-0.975,31.74,47
Hyderabad,Post-Monsoon,2000-2009,-0.414,31.45,69
Hyderabad,Post-Monsoon,2010-2019,-0.6002,31.08,68
Hyderabad,Post-Monsoon,2020-2024,-0.4797,29.64,31
Hyderabad,Pre-Monsoon,2000-2009,-1.5222,40.4,109
Hyderabad,Pre-Monsoon,2010-2019,-1.7751,40.07,110
Hyderabad,Pre-Monsoon,2020-2024,-1.4779,37.39,55
Hyderabad,Winter,2000-2009,-1.0401,32.77,112
Hyderabad,Winter,2010-2019,-1.4327,31.65,120
Hyderabad,Winter,2020-2024,-1.322,30.08,60
Jaipur,Monsoon,2000-2009,-0.3818,36.69,134
Jaipur,Monsoon,2010-2019,-0.444,36.81,122
Jaipur,Monsoon,2020-2024,-0.7013,34.91,64
Jaipur,Post-Monsoon,2000-2009,-0.9654,34.52,70
Jaipur,Post-Monsoon,2010-2019,-1.1613,32.85,70
Jaipur,Post-Monsoon,2020-2024,-1.4145,30.73,34
Jaipur,Pre-Monsoon,2000-2009,-0.6258,41.01,110
Jaipur,Pre-Monsoon,2010-2019,-0.846,41.1,110
Jaipur,Pre-Monsoon,2020-2024,-1.475,39.43,55
Jaipur,Winter,2000-2009,-0.4209,26.49,113
Jaipur,Winter,2010-2019,-0.1862,25.34,119
Jaipur,Winter,2020-2024,-0.3217,24.35,56
Kochi,Monsoon,2000-2009,0.3575,28.18,85
Kochi,Monsoon,2010-2019,0.1646,28.81,79
Kochi,Monsoon,2020-2024,0.6595,29.61,38
Kochi,Post-Monsoon,2000-2009,0.2762,29.95,62
Kochi,Post-Monsoon,2010-2019,0.5436,30.66,58
Kochi,Post-Monsoon,2020-2024,0.5138,30.16,28
Kochi,Pre-Monsoon,2000-2009,0.3801,31.8,92
Kochi,Pre-Monsoon,2010-2019,0.5149,32.57,95
Kochi,Pre-Monsoon,2020-2024,0.2898,32.44,41
Kochi,Winter,2000-2009,0.3758,31.01,113
Kochi,Winter,2010-2019,0.6681,31.47,119
Kochi,Winter,2020-2024,0.8189,31.4,60
Kolkata,Monsoon,2000-2009,0.2475,30.49,59
Kolkata,Monsoon,2010-2019,0.4494,31.19,57
Kolkata,Monsoon,2020-2024,0.3223,30.83,25
Kolkata,Post-Monsoon,2000-2009,0.4932,28.55,70
Kolkata,Post-Monsoon,2010-2019,0.7184,29.17,70
Kolkata,Post-Monsoon,2020-2024,0.7375,28.93,34
Kolkata,Pre-Monsoon,2000-2009,0.0541,31.97,107
Kolkata,Pre-Monsoon,2010-2019,0.4301,32.4,108
Kolkata,Pre-Monsoon,2020-2024,0.5613,32.79,51
Kolkata,Winter,2000-2009,-0.0477,25.06,114
Kolkata,Winter,2010-2019,0.1856,24.93,120
Kolkata,Winter,2020-2024,0.256,24.52,58
Mumbai,Monsoon,2000-2009,-0.4678,30.31,68
Mumbai,Monsoon,2010-2019,-0.3883,30.22,61
Mumbai,Monsoon,2020-2024,-1.3707,29.9,32
Mumbai,Post-Monsoon,2000-2009,-1.0113,31.7,70
Mumbai,Post-Monsoon,2010-2019,-0.9404,31.19,70
Mumbai,Post-Monsoon,2020-2024,-0.5934,30.24,34
Mumbai,Pre-Monsoon,2000-2009,-5.0942,35.72,110
Mumbai,Pre-Monsoon,2010-2019,-5.1747,35.37,110
Mumbai,Pre-Monsoon,2020-2024,-4.5013,34.56,54
Mumbai,Winter,2000-2009,-3.0495,30.44,113
Mumbai,Winter,2010-2019,-2.7516,29.7,120
Mumbai,Winter,2020-2024,-2.0883,29.3,60
Pune,Monsoon,2000-2009,0.0866,33.75,89
Pune,Monsoon,2010-2019,0.3098,34.36,84
Pune,Monsoon,2020-2024,0.283,32.72,37
Pune,Post-Monsoon,2000-2009,0.6753,34.01,70
Pune,Post-Monsoon,2010-2019,0.7741,32.56,70
Pune,Post-Monsoon,2020-2024,0.6948,30.9,32
Pune,Pre-Monsoon,2000-2009,-0.0749,44.8,110
Pune,Pre-Monsoon,2010-2019,-0.4181,43.22,110
Pune,Pre-Monsoon,2020-2024,-0.4407,40.36,55
Pune,Winter,2000-2009,0.226,34.49,113
Pune,Winter,2010-2019,0.102,32.62,120
Pune,Winter,2020-2024,0.0235,31.02,60
Surat,Monsoon,2000-2009,-0.7058,31.76,73
Surat,Monsoon,2010-2019,-0.4827,32.04,60
Surat,Monsoon,2020-2024,-0.4847,31.38,31
Surat,Post-Monsoon,2000-2009,-0.2252,33.54,70
Surat,Post-Monsoon,2010-2019,0.0192,33.32,70
Surat,Post-Monsoon,2020-2024,0.2672,32.21,34
Surat,Pre-Monsoon,2000-2009,-0.1686,38.66,110
Surat,Pre-Monsoon,2010-2019,-0.3572,38.39,110
Surat,Pre-Monsoon,2020-2024,-0.3892,36.75,55
Surat,Winter,2000-2009,-0.3132,31.32,113
Surat,Winter,2010-2019,-0.3219,30.81,120
Surat,Winter,2020-2024,-0.2398,29.68,60
