city,date,year,month,urban_temp_c,rural_temp_c,uhi_index,threshold_p90,severity
Ahmedabad,2017-02-02,2017,2,30.45,29.11,1.3382,1.1479,MODERATE
Ahmedabad,2017-02-18,2017,2,34.97,33.67,1.307,1.1479,MODERATE
Ahmedabad,2017-08-13,2017,8,32.46,31.15,1.3068,1.1479,MODERATE
Ahmedabad,2017-09-14,2017,9,32.71,30.27,2.4443,1.1479,CRITICAL
Ahmedabad,2018-01-25,2018,1,29.64,28.43,1.2105,1.1479,MODERATE
Ahmedabad,2018-02-10,2018,2,31.23,29.85,1.38,1.1479,HIGH
Ahmedabad,2018-03-06,2018,3,37.43,36.23,1.2007,1.1479,MODERATE
Ahmedabad,2019-01-01,2019,1,28.38,27.19,1.1883,1.1479,MODERATE
Ahmedabad,2019-01-09,2019,1,27.4,26.2,1.2016,1.1479,MODERATE
Ahmedabad,2019-01-17,2019,1,29.23,28.01,1.2143,1.1479,MODERATE
Ahmedabad,2019-01-25,2019,1,26.98,25.6,1.3803,1.1479,HIGH
Ahmedabad,2019-02-02,2019,2,27.24,26.05,1.1946,1.1479,MODERATE
Ahmedabad,2019-02-10,2019,2,30.61,29.34,1.2764,1.1479,MODERATE
Ahmedabad,2019-02-18,2019,2,34.6,33.09,1.5052,1.1479,HIGH
Ahmedabad,2019-02-26,2019,2,32.76,31.36,1.4,1.1479,HIGH
Ahmedabad,2019-03-14,2019,3,38.04,36.72,1.3114,1.1479,MODERATE
Ahmedabad,2019-03-22,2019,3,41.57,40.39,1.1845,1.1479,MODERATE
Ahmedabad,2020-01-17,2020,1,27.01,25.76,1.2538,1.1479,MODERATE
Ahmedabad,2020-01-25,2020,1,28.24,26.8,1.445,1.1479,HIGH
Ahmedabad,2020-02-02,2020,2,27.96,26.55,1.4197,1.1479,HIGH
Ahmedabad,2020-02-10,2020,2,31.18,29.82,1.3594,1.1479,MODERATE
Ahmedabad,2020-02-18,2020,2,32.7,30.95,1.7507,1.1479,CRITICAL
Ahmedabad,2020-02-26,2020,2,33.67,32.32,1.3492,1.1479,MODERATE
Ahmedabad,2020-03-13,2020,3,35.81,33.39,2.4281,1.1479,CRITICAL
Ahmedabad,2020-03-21,2020,3,37.43,36.15,1.2809,1.1479,MODERATE
Ahmedabad,2020-06-17,2020,6,35.97,32.01,3.9581,1.1479,CRITICAL
Ahmedabad,2021-01-17,2021,1,29.12,27.95,1.1733,1.1479,MODERATE
Ahmedabad,2021-01-25,2021,1,26.87,25.7,1.1731,1.1479,MODERATE
Ahmedabad,2021-02-02,2021,2,28.74,27.38,1.3543,1.1479,MODERATE
Ahmedabad,2021-02-10,2021,2,31.23,29.54,1.6957,1.1479,HIGH
Ahmedabad,2021-02-18,2021,2,33.7,32.29,1.4143,1.1479,HIGH
Ahmedabad,2021-02-26,2021,2,36.28,34.83,1.4554,1.1479,HIGH
Ahmedabad,2021-03-14,2021,3,36.47,35.25,1.223,1.1479,MODERATE
Ahmedabad,2021-06-10,2021,6,38.53,36.01,2.5202,1.1479,CRITICAL
Ahmedabad,2022-01-01,2022,1,28.56,27.0,1.563,1.1479,HIGH
Ahmedabad,2022-01-17,2022,1,28.14,26.94,1.2035,1.1479,MODERATE
Ahmedabad,2022-02-10,2022,2,30.88,29.7,1.1815,1.1479,MODERATE
Ahmedabad,2022-02-18,2022,2,33.17,31.95,1.2176,1.1479,MODERATE
Ahmedabad,2022-02-26,2022,2,34.46,33.3,1.1591,1.1479,MODERATE
Ahmedabad,2022-08-21,2022,8,29.13,27.54,1.5863,1.1479,HIGH
Ahmedabad,2022-09-22,2022,9,32.48,29.54,2.9437,1.1479,CRITICAL
Ahmedabad,2023-01-17,2023,1,25.99,24.46,1.5289,1.1479,HIGH
Ahmedabad,2023-02-02,2023,2,29.88,28.6,1.2789,1.1479,MODERATE
Ahmedabad,2023-02-10,2023,2,32.09,30.72,1.3709,1.1479,MODERATE
Ahmedabad,2023-02-18,2023,2,33.56,31.94,1.6153,1.1479,HIGH
Ahmedabad,2023-02-26,2023,2,34.4,33.17,1.2228,1.1479,MODERATE
Ahmedabad,2023-03-14,2023,3,34.91,33.26,1.6574,1.1479,HIGH
Ahmedabad,2023-08-21,2023,8,31.67,29.93,1.7396,1.1479,CRITICAL
Ahmedabad,2023-08-29,2023,8,33.58,32.31,1.2618,1.1479,MODERATE
Ahmedabad,2024-02-02,2024,2,28.73,27.41,1.3169,1.1479,MODERATE
Ahmedabad,2024-02-10,2024,2,29.23,27.63,1.601,1.1479,HIGH
Ahmedabad,2024-02-18,2024,2,31.28,30.01,1.2641,1.1479,MODERATE
Ahmedabad,2024-02-26,2024,2,30.55,29.22,1.3277,1.1479,MODERATE
Ahmedabad,2024-03-05,2024,3,33.67,32.28,1.3806,1.1479,HIGH
Bangalore,2000-10-07,2000,10,29.31,28.7,0.6134,0.2742,CRITICAL
Bangalore,2000-10-15,2000,10,28.29,27.9,0.3887,0.2742,HIGH
Bangalore,2000-11-08,2000,11,28.94,28.64,0.2999,0.2742,MODERATE
Bangalore,2000-11-24,2000,11,30.19,29.58,0.6163,0.2742,CRITICAL
Bangalore,2001-03-30,2001,3,39.7,39.19,0.5088,0.2742,CRITICAL
Bangalore,2001-10-24,2001,10,28.79,28.3,0.4876,0.2742,CRITICAL
Bangalore,2002-08-21,2002,8,31.47,30.98,0.4897,0.2742,CRITICAL
Bangalore,2002-09-14,2002,9,33.49,32.24,1.2478,0.2742,CRITICAL
Bangalore,2002-09-22,2002,9,37.57,36.75,0.8181,0.2742,CRITICAL
Bangalore,2003-06-10,2003,6,33.06,32.52,0.5417,0.2742,CRITICAL
Bangalore,2003-08-29,2003,8,28.8,28.03,0.7664,0.2742,CRITICAL
Bangalore,2004-05-24,2004,5,29.48,28.71,0.7618,0.2742,CRITICAL
Bangalore,2004-09-29,2004,9,30.98,30.53,0.4504,0.2742,CRITICAL
Bangalore,2004-10-23,2004,10,28.17,27.54,0.6355,0.2742,CRITICAL
Bangalore,2004-10-31,2004,10,26.51,26.03,0.4827,0.2742,CRITICAL
Bangalore,2005-06-18,2005,6,35.92,33.51,2.41,0.2742,CRITICAL
Bangalore,2005-07-04,2005,7,29.88,29.18,0.6999,0.2742,CRITICAL
Bangalore,2005-10-08,2005,10,28.79,28.03,0.7606,0.2742,CRITICAL
Bangalore,2005-10-16,2005,10,28.64,27.74,0.8937,0.2742,CRITICAL
Bangalore,2005-11-09,2005,11,27.84,27.54,0.3082,0.2742,MODERATE
Bangalore,2005-11-25,2005,11,26.48,25.79,0.6818,0.2742,CRITICAL
Bangalore,2005-12-19,2005,12,27.74,27.31,0.4253,0.2742,CRITICAL
Bangalore,2006-11-01,2006,11,28.69,28.32,0.371,0.2742,HIGH
Bangalore,2006-11-09,2006,11,30.52,30.23,0.2895,0.2742,MODERATE
Bangalore,2007-10-16,2007,10,31.34,30.82,0.5222,0.2742,CRITICAL
Bangalore,2008-10-07,2008,10,29.96,29.63,0.3321,0.2742,HIGH
Bangalore,2008-10-23,2008,10,29.04,28.51,0.5282,0.2742,CRITICAL
Bangalore,2008-12-02,2008,12,27.92,27.48,0.4415,0.2742,CRITICAL
Bangalore,2009-03-22,2009,3,37.05,36.66,0.3948,0.2742,HIGH
Bangalore,2010-08-13,2010,8,30.72,28.59,2.1312,0.2742,CRITICAL
Bangalore,2010-10-16,2010,10,28.52,28.19,0.3315,0.2742,HIGH
Bangalore,2010-11-17,2010,11,28.08,26.42,1.6518,0.2742,CRITICAL
Bangalore,2010-12-03,2010,12,28.09,26.27,1.8159,0.2742,CRITICAL
Bangalore,2012-09-13,2012,9,33.45,33.08,0.3718,0.2742,HIGH
Bangalore,2012-10-07,2012,10,32.35,31.89,0.4627,0.2742,CRITICAL
Bangalore,2012-10-23,2012,10,29.32,28.89,0.4368,0.2742,CRITICAL
Bangalore,2012-10-31,2012,10,29.47,28.7,0.7691,0.2742,CRITICAL
Bangalore,2013-07-28,2013,7,28.11,27.59,0.5215,0.2742,CRITICAL
Bangalore,2013-09-30,2013,9,30.82,30.51,0.3149,0.2742,MODERATE
Bangalore,2013-10-08,2013,10,30.32,28.93,1.3867,0.2742,CRITICAL
Bangalore,2013-10-16,2013,10,30.2,29.1,1.0966,0.2742,CRITICAL
Bangalore,2013-11-01,2013,11,28.81,28.46,0.3494,0.2742,HIGH
Bangalore,2014-03-06,2014,3,34.79,34.18,0.6083,0.2742,CRITICAL
Bangalore,2014-10-08,2014,10,29.63,29.27,0.3622,0.2742,HIGH
Bangalore,2014-10-16,2014,10,28.4,28.09,0.3176,0.2742,MODERATE
Bangalore,2014-10-24,2014,10,26.47,25.74,0.726,0.2742,CRITICAL
Bangalore,2014-11-01,2014,11,28.56,27.9,0.6554,0.2742,CRITICAL
Bangalore,2014-11-09,2014,11,29.29,28.98,0.3003,0.2742,MODERATE
Bangalore,2014-11-17,2014,11,27.86,27.56,0.3049,0.2742,MODERATE
Bangalore,2014-12-11,2014,12,27.44,27.12,0.3146,0.2742,MODERATE
Bangalore,2015-08-21,2015,8,33.25,31.6,1.6497,0.2742,CRITICAL
Bangalore,2015-09-22,2015,9,31.07,30.28,0.7857,0.2742,CRITICAL
Bangalore,2015-10-08,2015,10,31.53,30.5,1.0327,0.2742,CRITICAL
Bangalore,2015-10-16,2015,10,31.46,30.87,0.5937,0.2742,CRITICAL
Bangalore,2015-10-24,2015,10,31.5,30.95,0.5521,0.2742,CRITICAL
Bangalore,2015-11-25,2015,11,27.88,27.49,0.3835,0.2742,HIGH
Bangalore,2016-10-07,2016,10,35.81,35.46,0.349,0.2742,HIGH
Bangalore,2017-09-06,2017,9,31.4,28.16,3.2477,0.2742,CRITICAL
Bangalore,2017-09-22,2017,9,31.72,31.27,0.4536,0.2742,CRITICAL
Bangalore,2017-10-08,2017,10,29.94,29.21,0.7322,0.2742,CRITICAL
Bangalore,2017-10-16,2017,10,29.39,28.41,0.9812,0.2742,CRITICAL
Bangalore,2017-10-24,2017,10,29.27,28.48,0.7918,0.2742,CRITICAL
Bangalore,2017-11-01,2017,11,28.78,28.22,0.5599,0.2742,CRITICAL
Bangalore,2017-11-09,2017,11,28.45,27.96,0.4845,0.2742,CRITICAL
Bangalore,2017-11-17,2017,11,28.47,28.05,0.4274,0.2742,CRITICAL
Bangalore,2018-09-30,2018,9,30.58,30.03,0.5448,0.2742,CRITICAL
Bangalore,2018-10-16,2018,10,29.42,28.63,0.7918,0.2742,CRITICAL
Bangalore,2019-09-22,2019,9,31.71,31.16,0.5465,0.2742,CRITICAL
Bangalore,2019-10-08,2019,10,29.09,28.73,0.3628,0.2742,HIGH
Bangalore,2019-11-01,2019,11,28.87,28.44,0.4344,0.2742,CRITICAL
Bangalore,2019-11-17,2019,11,29.87,29.48,0.3913,0.2742,HIGH
Bangalore,2019-12-19,2019,12,28.01,27.72,0.2928,0.2742,MODERATE
Bangalore,2020-06-25,2020,6,32.0,31.72,0.2807,0.2742,MODERATE
Bangalore,2020-09-21,2020,9,31.53,30.89,0.6399,0.2742,CRITICAL
Bangalore,2020-09-29,2020,9,29.85,28.88,0.9738,0.2742,CRITICAL
Bangalore,2020-10-07,2020,10,32.26,31.39,0.8743,0.2742,CRITICAL
Bangalore,2020-11-24,2020,11,27.39,27.04,0.348,0.2742,HIGH
Bangalore,2021-07-28,2021,7,30.35,29.67,0.6786,0.2742,CRITICAL
Bangalore,2021-09-06,2021,9,31.2,30.42,0.7804,0.2742,CRITICAL
Bangalore,2021-09-22,2021,9,30.42,28.6,1.8248,0.2742,CRITICAL
Bangalore,2021-09-30,2021,9,31.0,29.36,1.6345,0.2742,CRITICAL
Bangalore,2021-10-24,2021,10,27.41,26.96,0.4505,0.2742,CRITICAL
Bangalore,2021-11-17,2021,11,28.19,27.47,0.7144,0.2742,CRITICAL
Bangalore,2022-07-28,2022,7,29.55,28.4,1.1548,0.2742,CRITICAL
Bangalore,2022-08-29,2022,8,30.35,29.66,0.6952,0.2742,CRITICAL
Bangalore,2022-10-24,2022,10,28.44,27.71,0.7302,0.2742,CRITICAL
Bangalore,2022-11-01,2022,11,27.93,27.33,0.5976,0.2742,CRITICAL
Bangalore,2022-11-17,2022,11,25.7,25.36,0.334,0.2742,HIGH
Bangalore,2022-11-25,2022,11,26.69,26.42,0.2742,0.2742,MODERATE
Bangalore,2024-05-08,2024,5,32.54,32.04,0.4963,0.2742,CRITICAL
Bangalore,2024-05-16,2024,5,30.73,30.45,0.2829,0.2742,MODERATE
Bangalore,2024-11-24,2024,11,26.33,26.03,0.3033,0.2742,MODERATE
Chennai,2000-09-13,2000,9,36.08,35.05,1.037,1.037,MODERATE
Chennai,2000-10-15,2000,10,34.18,29.48,4.7026,1.037,CRITICAL
Chennai,2001-05-25,2001,5,40.4,39.27,1.1382,1.037,MODERATE
Chennai,2001-06-02,2001,6,40.87,39.6,1.2724,1.037,HIGH
Chennai,2001-07-04,2001,7,40.89,36.44,4.4501,1.037,CRITICAL
Chennai,2001-08-21,2001,8,41.16,36.78,4.3745,1.037,CRITICAL
Chennai,2001-11-09,2001,11,29.84,28.76,1.0825,1.037,MODERATE
Chennai,2002-01-01,2002,1,28.55,27.05,1.5012,1.037,HIGH
Chennai,2002-02-02,2002,2,31.87,29.38,2.4946,1.037,CRITICAL
Chennai,2002-06-10,2002,6,38.87,37.04,1.8268,1.037,CRITICAL
Chennai,2003-08-29,2003,8,36.93,35.73,1.1928,1.037,MODERATE
Chennai,2003-09-06,2003,9,36.39,35.21,1.1792,1.037,MODERATE
Chennai,2003-12-19,2003,12,28.28,26.98,1.3016,1.037,HIGH
Chennai,2003-12-27,2003,12,30.01,27.51,2.5005,1.037,CRITICAL
Chennai,2004-08-04,2004,8,35.67,33.63,2.0353,1.037,CRITICAL
Chennai,2004-09-29,2004,9,36.87,33.84,3.0389,1.037,CRITICAL
Chennai,2004-10-15,2004,10,35.19,32.04,3.1467,1.037,CRITICAL
Chennai,2004-12-10,2004,12,30.04,28.96,1.0826,1.037,MODERATE
Chennai,2005-04-07,2005,4,34.93,33.85,1.0826,1.037,MODERATE
Chennai,2005-07-04,2005,7,39.57,37.01,2.5584,1.037,CRITICAL
Chennai,2005-12-11,2005,12,30.31,27.09,3.22,1.037,CRITICAL
Chennai,2006-04-15,2006,4,37.82,36.45,1.3726,1.037,HIGH
Chennai,2006-12-03,2006,12,31.62,28.14,3.4761,1.037,CRITICAL
Chennai,2007-06-02,2007,6,41.53,40.0,1.5296,1.037,HIGH
Chennai,2008-03-13,2008,3,32.2,31.15,1.0524,1.037,MODERATE
Chennai,2008-06-25,2008,6,28.91,27.39,1.5167,1.037,HIGH
Chennai,2009-11-17,2009,11,31.38,29.04,2.3334,1.037,CRITICAL
Chennai,2009-12-19,2009,12,29.05,26.85,2.2033,1.037,CRITICAL
Chennai,2010-01-09,2010,1,31.24,29.13,2.1161,1.037,CRITICAL
Chennai,2010-04-23,2010,4,41.93,38.91,3.0231,1.037,CRITICAL
Chennai,2010-11-17,2010,11,29.89,28.02,1.8679,1.037,CRITICAL
Chennai,2010-11-25,2010,11,30.25,27.3,2.9485,1.037,CRITICAL
Chennai,2010-12-27,2010,12,28.86,27.7,1.1603,1.037,MODERATE
Chennai,2011-01-25,2011,1,31.68,28.34,3.3335,1.037,CRITICAL
Chennai,2011-07-12,2011,7,39.66,35.27,4.3909,1.037,CRITICAL
Chennai,2011-11-25,2011,11,29.08,26.52,2.5588,1.037,CRITICAL
Chennai,2012-01-25,2012,1,29.93,28.7,1.2305,1.037,MODERATE
Chennai,2012-02-02,2012,2,31.08,29.89,1.1889,1.037,MODERATE
Chennai,2012-07-11,2012,7,39.34,37.44,1.8934,1.037,CRITICAL
Chennai,2012-08-28,2012,8,39.76,37.33,2.4311,1.037,CRITICAL
Chennai,2013-07-28,2013,7,33.9,32.11,1.7866,1.037,CRITICAL
Chennai,2013-09-22,2013,9,34.48,33.08,1.3957,1.037,HIGH
Chennai,2013-10-16,2013,10,35.77,32.87,2.8973,1.037,CRITICAL
Chennai,2013-12-11,2013,12,29.05,27.79,1.2626,1.037,HIGH
Chennai,2014-01-01,2014,1,30.31,29.14,1.1621,1.037,MODERATE
Chennai,2014-09-30,2014,9,36.39,34.46,1.9277,1.037,CRITICAL
Chennai,2014-10-24,2014,10,31.88,30.34,1.5379,1.037,HIGH
Chennai,2014-11-17,2014,11,29.73,28.15,1.5825,1.037,CRITICAL
Chennai,2015-04-23,2015,4,37.2,36.05,1.1529,1.037,MODERATE
Chennai,2015-07-12,2015,7,36.5,34.86,1.6386,1.037,CRITICAL
Chennai,2015-09-30,2015,9,35.53,34.39,1.1353,1.037,MODERATE
Chennai,2016-07-27,2016,7,35.88,34.68,1.2043,1.037,MODERATE
Chennai,2016-08-04,2016,8,36.54,35.15,1.3929,1.037,HIGH
Chennai,2016-08-12,2016,8,38.96,36.95,2.0148,1.037,CRITICAL
Chennai,2016-09-05,2016,9,38.16,36.51,1.6465,1.037,CRITICAL
Chennai,2016-09-29,2016,9,34.43,32.93,1.5074,1.037,HIGH
Chennai,2016-10-07,2016,10,36.38,35.18,1.2092,1.037,MODERATE
Chennai,2016-11-16,2016,11,33.11,31.88,1.226,1.037,MODERATE
Chennai,2017-02-26,2017,2,34.92,33.58,1.3407,1.037,HIGH
Chennai,2017-06-18,2017,6,38.82,37.52,1.2972,1.037,HIGH
Chennai,2017-07-20,2017,7,38.83,36.45,2.3845,1.037,CRITICAL
Chennai,2017-07-28,2017,7,39.57,36.54,3.0331,1.037,CRITICAL
Chennai,2017-09-22,2017,9,36.57,34.9,1.6627,1.037,CRITICAL
Chennai,2017-10-24,2017,10,34.91,30.64,4.2684,1.037,CRITICAL
Chennai,2017-12-27,2017,12,31.06,28.89,2.1729,1.037,CRITICAL
Chennai,2018-09-14,2018,9,36.06,33.27,2.796,1.037,CRITICAL
Chennai,2018-09-30,2018,9,36.14,33.08,3.0537,1.037,CRITICAL
Chennai,2018-10-08,2018,10,35.36,33.96,1.403,1.037,HIGH
Chennai,2018-10-24,2018,10,31.66,30.62,1.044,1.037,MODERATE
Chennai,2019-06-26,2019,6,41.29,38.72,2.5744,1.037,CRITICAL
Chennai,2019-08-29,2019,8,35.16,32.32,2.8407,1.037,CRITICAL
Chennai,2019-09-06,2019,9,37.84,34.02,3.8162,1.037,CRITICAL
Chennai,2019-09-22,2019,9,34.9,31.93,2.9704,1.037,CRITICAL
Chennai,2019-09-30,2019,9,33.81,32.35,1.4556,1.037,HIGH
Chennai,2019-12-03,2019,12,29.62,28.12,1.5027,1.037,HIGH
Chennai,2020-07-03,2020,7,39.85,38.44,1.4163,1.037,HIGH
Chennai,2020-07-27,2020,7,37.87,33.35,4.5174,1.037,CRITICAL
Chennai,2020-09-21,2020,9,36.04,34.54,1.4962,1.037,HIGH
Chennai,2020-11-08,2020,11,31.11,29.17,1.9454,1.037,CRITICAL
Chennai,2020-12-02,2020,12,28.63,27.3,1.3312,1.037,HIGH
Chennai,2021-05-25,2021,5,38.07,36.98,1.0896,1.037,MODERATE
Chennai,2021-07-28,2021,7,34.53,33.47,1.0646,1.037,MODERATE
Chennai,2021-08-21,2021,8,38.25,36.09,2.1571,1.037,CRITICAL
Chennai,2021-09-06,2021,9,34.87,33.37,1.5021,1.037,HIGH
Chennai,2021-12-27,2021,12,29.82,28.76,1.0582,1.037,MODERATE
Chennai,2022-11-01,2022,11,29.99,27.0,2.9851,1.037,CRITICAL
Chennai,2022-12-03,2022,12,31.28,28.87,2.4069,1.037,CRITICAL
Chennai,2022-12-11,2022,12,27.43,26.28,1.1551,1.037,MODERATE
Chennai,2023-07-12,2023,7,34.73,30.17,4.5622,1.037,CRITICAL
Chennai,2023-09-06,2023,9,34.56,33.45,1.115,1.037,MODERATE
Chennai,2023-09-22,2023,9,32.68,31.25,1.4292,1.037,HIGH
Chennai,2024-01-09,2024,1,29.21,27.79,1.4152,1.037,HIGH
Chennai,2024-08-20,2024,8,36.56,33.58,2.9757,1.037,CRITICAL
Delhi,2000-03-13,2000,3,28.49,27.06,1.4251,1.1264,HIGH
Delhi,2000-06-17,2000,6,36.55,33.83,2.7191,1.1264,CRITICAL
Delhi,2000-07-03,2000,7,37.42,35.48,1.9409,1.1264,CRITICAL
Delhi,2000-07-27,2000,7,28.89,25.89,2.9911,1.1264,CRITICAL
Delhi,2000-08-04,2000,8,35.51,34.16,1.3505,1.1264,MODERATE
Delhi,2000-09-05,2000,9,31.66,30.31,1.3523,1.1264,HIGH
Delhi,2000-09-13,2000,9,35.81,34.45,1.3583,1.1264,HIGH
Delhi,2001-03-06,2001,3,28.78,27.54,1.2375,1.1264,MODERATE
Delhi,2001-09-06,2001,9,34.69,33.25,1.4355,1.1264,HIGH
Delhi,2002-03-06,2002,3,25.67,24.43,1.2371,1.1264,MODERATE
Delhi,2002-03-14,2002,3,30.87,29.66,1.2113,1.1264,MODERATE
Delhi,2002-03-22,2002,3,37.41,36.27,1.1385,1.1264,MODERATE
Delhi,2002-03-30,2002,3,35.06,33.78,1.2856,1.1264,MODERATE
Delhi,2002-04-07,2002,4,38.93,37.66,1.2706,1.1264,MODERATE
Delhi,2002-07-20,2002,7,31.66,29.6,2.0623,1.1264,CRITICAL
Delhi,2002-08-29,2002,8,40.12,36.71,3.4116,1.1264,CRITICAL
Delhi,2003-06-10,2003,6,44.22,42.78,1.4305,1.1264,HIGH
Delhi,2003-06-26,2003,6,33.8,31.27,2.5299,1.1264,CRITICAL
Delhi,2004-06-17,2004,6,39.21,36.52,2.687,1.1264,CRITICAL
Delhi,2004-07-03,2004,7,38.15,36.83,1.3251,1.1264,MODERATE
Delhi,2004-07-19,2004,7,35.44,32.11,3.3303,1.1264,CRITICAL
Delhi,2004-09-21,2004,9,34.9,33.66,1.2336,1.1264,MODERATE
Delhi,2005-06-10,2005,6,43.91,42.4,1.512,1.1264,HIGH
Delhi,2005-06-18,2005,6,40.27,39.06,1.213,1.1264,MODERATE
Delhi,2005-07-20,2005,7,33.59,31.42,2.1736,1.1264,CRITICAL
Delhi,2006-02-18,2006,2,28.63,27.34,1.2834,1.1264,MODERATE
Delhi,2006-02-26,2006,2,28.62,27.18,1.445,1.1264,HIGH
Delhi,2006-06-26,2006,6,35.64,34.31,1.3321,1.1264,MODERATE
Delhi,2006-08-13,2006,8,37.27,35.28,1.9902,1.1264,CRITICAL
Delhi,2007-02-02,2007,2,23.37,22.19,1.1804,1.1264,MODERATE
Delhi,2007-03-06,2007,3,24.59,23.33,1.2659,1.1264,MODERATE
Delhi,2007-06-10,2007,6,31.45,28.28,3.173,1.1264,CRITICAL
Delhi,2007-08-21,2007,8,37.5,35.63,1.861,1.1264,CRITICAL
Delhi,2007-09-14,2007,9,35.75,34.49,1.2558,1.1264,MODERATE
Delhi,2008-01-25,2008,1,19.15,17.86,1.2897,1.1264,MODERATE
Delhi,2008-02-26,2008,2,28.01,26.87,1.1372,1.1264,MODERATE
Delhi,2008-03-05,2008,3,29.08,27.91,1.1698,1.1264,MODERATE
Delhi,2008-03-13,2008,3,32.43,30.96,1.471,1.1264,HIGH
Delhi,2008-03-21,2008,3,33.15,31.64,1.5008,1.1264,HIGH
Delhi,2008-03-29,2008,3,30.43,29.23,1.2009,1.1264,MODERATE
Delhi,2009-02-26,2009,2,26.92,25.72,1.1934,1.1264,MODERATE
Delhi,2009-03-06,2009,3,29.34,27.85,1.4873,1.1264,HIGH
Delhi,2009-06-26,2009,6,45.11,43.07,2.0444,1.1264,CRITICAL
Delhi,2009-07-04,2009,7,42.68,40.75,1.9323,1.1264,CRITICAL
Delhi,2010-01-25,2010,1,21.28,19.69,1.5972,1.1264,HIGH
Delhi,2010-02-26,2010,2,27.17,25.92,1.25,1.1264,MODERATE
Delhi,2010-03-06,2010,3,29.14,27.9,1.2332,1.1264,MODERATE
Delhi,2010-03-14,2010,3,33.25,31.87,1.3801,1.1264,HIGH
Delhi,2010-03-22,2010,3,36.27,34.96,1.3077,1.1264,MODERATE
Delhi,2010-08-29,2010,8,31.05,28.03,3.0228,1.1264,CRITICAL
Delhi,2011-03-06,2011,3,26.54,25.38,1.1545,1.1264,MODERATE
Delhi,2012-02-18,2012,2,25.05,22.27,2.7739,1.1264,CRITICAL
Delhi,2012-02-26,2012,2,25.46,24.23,1.2367,1.1264,MODERATE
Delhi,2012-03-05,2012,3,25.74,24.44,1.3032,1.1264,MODERATE
